"name","mu (m3/s2)","radius (km)","color","primary","a (AU or km)","e","i","L0","~omega","LAN"
"Sun",1.3271244E+020,695508,"yellow",,,,,,,
"Mercury",22032000000000,2439.7,"gray","Sun",0.38709927,0.20563069,7.00497902,252.2503235,77.45779628,48.33076593
"Venus",324859000000000,6051.8,"peru","Sun",0.72333566,0.00677672,3.39467605,181.9790995,131.60246718,76.67984255
"Earth",398600442000000,6371,"lightseagreen","Sun",1.00000261,0.01671123,0.00001531,100.46457166,102.93768193,0
"Moon",4904869500000,1737.4,"drarkgray","Earth",,,,,,
"Mars",42828370000000,3389.5,"firebrick","Sun",1.52371034,0.0933941,1.84969142,-4.55343205,-23.94362959,49.55953891
"Phobos",,11.2667,"darkgray","Mars",,,,,,
"Deimos",,6.2,"darkgray","Mars",,,,,,
"Ceres",62632500000,939.4,"tan","Sun",2.769165148,0.07600902,10.5878994,86.9872098524869,153.997247491281,80.27235801
"Jupiter",1.26686534E+017,69911,"chocolate","Sun",5.202887,0.04838624,1.30439695,34.39644051,14.72847983,100.47390909
"Saturn",3.7931187E+016,58232,"darksalmon","Sun",9.53667594,0.05386179,2.48599187,49.95424423,92.59887831,113.66242448
"Uranus",5793939000000000,25362,"steelblue","Sun",19.18916464,0.04725744,0.77263783,313.23810451,170.9542763,74.01692503
"Neptune",6836529000000000,24622,"royalblue","Sun",30.06992276,0.00859048,1.77004347,-55.12002969,44.96476227,131.78422574
"Pluto",871000000000,2376.6,"gray","Sun",39.48211675,0.2488273,17.14001206,238.92903833,224.06891629,110.30393684
